Origin,Dest,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
SDN,ZWE,,,,,,,,,,,,,,,,,,,22,26,49,73,107,151,149,34,97,105,123,201,,,40,11,27
LBY,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
TGO,CMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,17,17,17,20
SLE,PRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1
GUY,CAN,,,,,,,,,,,,,,,,,,,,69,58,47,29,28,,22,36,39,49,129,311,407,537,569,591
IND,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,2532,3158,3182,5947,2041,1849,1827,2879
HTI,BEL,,,,,,,,,,,,,,,,,,,,,,,,21,10,16,9,6,6,5,5,6,9,8,8
JPN,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,9,9,9,11
ERI,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,4,4,5
IRN,CUB,,,,,,,,,,,,,,,,,,,,,,,,,,17,12,11,9,5,,,3,1,1
SYR,CUB,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,
ROU,ZWE,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,
COL,AUS,,,,,,,,,,,,,,,,,,,,,,13,37,94,137,185,235,251,212,165,134,94,265,219,191
MDV,USA,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,3,3,3,5
SYR,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,
NER,AUS,,,,,,,,,,,,,,,,,,,,,,,7,7,8,8,8,1,1,,,,2,2,1
CHL,GBR,,,,,,,,,,,,,,18,18,12,10,6,,,,,,,,,,,,,,,,,
CMR,NLD,,,,,,,,,,,,,,,,,,3,3,3,10,18,19,26,,35,47,82,103,128,156,189,204,207,215
ROU,VEN,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,
MNE,CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,16,23
BLR,DNK,,,,,,,,,,,,,,,,,,,,,,,1,13,24,25,23,26,34,39,39,38,39,37,30
TCD,SWE,,,,,,,,,,,,,,,,,5,12,13,14,14,14,14,15,,15,11,4,7,6,6,11,6,5,8
LKA,BLR,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,
EGY,KOR,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
MWI,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
GIN,PRT,,,,,,,,,,,,,,,,,,,,,,2,2,2,,2,3,3,3,3,3,3,3,8,8
PHL,GRC,,,,,,,,,,,,,,,,,,,8,8,,,,,,,7,,,,,,,,
SLV,ESP,,,,,,,,,,,,,,,,,17,13,13,12,6,1,1,1,1,1,1,1,1,,,,,,
CMR,MDG,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
YEM,SYR,,,,,,,,,,,,,,,,,,,,,,250,622,695,728,748,662,143,93,85,85,85,53,54,18
COG,UKR,,,,,,,,,,,,,,,,,,,,,,23,108,121,125,109,120,120,115,96,92,89,85,44,27
LBR,IRL,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,15,26,39,40,40,44,46,42
HTI,NOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,2
CAF,SDN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,245,1582
CUB,CYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
NGA,CYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3
MAR,GRC,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,4,4,4,4,4,4,3
ZWE,ETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
IDN,NZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,8,,,406
ESH,DZA,20000,35000,50000,50000,50000,50000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,90000,90000,90000,90000,90000
NGA,TUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4
MYS,SWE,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,6,,9,6,7,7,13,13,13,11,8,5
ESP,TUN,,,,,,,,,,,,,,,,,,,,,,7,4,4,2,1,1,1,1,,,,,,
NPL,POL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,3,5
RUS,NOR,,,,,,,,,,,,,,,,,,,,,,,34,40,78,104,245,457,1204,2249,2694,3034,3552,3790,3969
MRT,ARG,,,,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1
CAF,NOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
LBR,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,810,815,788,744,227,258,252,357
DZA,PAN,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
SDN,AUT,,,,,,,,,,,,,,,,,,,,,,,,20,24,29,33,42,58,79,108,135,151,163,171
UGA,ESP,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1
MRT,HUN,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,2,1,1,1,1,1
VEN,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
UKR,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
RUS,GRC,,,,,,,,,,,,,,,,,,,10,10,,,,,,,23,9,9,9,16,18,18,18,18
ZWE,NLD,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,2,6,6,10,13,18,24,30
BGD,SOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3
MAR,HUN,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,2,2,3,2,2
GMB,CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,11,11,16,18,21,25
NPL,ISR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
SUR,NLD,,,,,,,,,,,,,,,,,,855,855,868,801,734,645,453,,269,168,38,38,25,20,8,5,5,5
ARM,MDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,23,26,27,21
SOM,TTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3
PRK,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,13
TUR,AUS,,,,,,,,,,,,,,,,,,,,,,216,299,403,603,655,597,662,585,399,355,257,428,372,246
DOM,ITA,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
MAR,UKR,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
ARM,ISL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,4,4
TCD,SYR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,1,1
COM,AUS,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,
IRN,ITA,,,,,,48,83,210,607,1304,1695,2111,2452,2661,2770,2755,2730,2615,2227,1629,1271,914,619,436,7,457,538,575,585,523,524,553,580,617,694
DOM,USA,,,,,,,,,,,,,,,,,,,,,,2,3,5,5,4,,,13,17,18,22,27,29,33
ERI,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
MRT,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,67,68,57,33,32,36,47
BDI,ITA,,,,,,2,2,2,2,2,2,1,1,,,,,,,5,14,24,37,37,,47,47,47,47,43,41,24,15,19,16
NER,NGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
BDI,TUN,,,,,,,,,,,,,,,,,,,,,,11,11,7,7,7,8,8,8,7,4,4,4,4,4
SYR,ISR,,,,,,,,,,,,,,,,,,,,,,,,5,4,4,,,,1,2,2,2,1,0
IRN,GTM,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,
TGO,HKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,
BIH,JOR,,,,,,,,,,,,,,,,,,100,388,265,179,93,88,22,23,15,13,13,13,12,12,12,12,12,12
CMR,BWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1
ETH,LBN,,,,,1100,1400,1000,1000,1000,1000,500,1500,,,,,,,,,,,,,,,7,3,3,3,,,15,19,16
TGO,USA,,,,,,,,,,,,,,,,,,,,,,180,263,363,544,1070,1407,1634,1790,1994,2173,3404,2437,2433,2419
ERI,NAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
MWI,NLD,,,,,,,,,,,,,,,,,,,,,,3,3,3,,3,4,4,4,4,1,1,1,1,1
MKD,ROU,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
HKG,CAN,,,,,,,,,,,,,,,,,,,,257,179,102,47,39,,10,4,2,,,,1,1,1,1
ARG,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
CMR,SVK,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,1,1,3
UGA,BHR,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,
SOM,CHL,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,
MDA,AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,5,19,32,55,80,111,121
KEN,CAF,,,,,,,,,,,,,,,,,,,3,2,,,2,2,2,2,2,2,,1,1,1,1,,
SLE,MEX,,,,,,,,,,,,,,,,,,,,,,,2,5,10,13,24,6,6,3,3,3,1,1,1
TKM,RUS,,,,,,,,,,,,,,,,,,,,,,2882,3107,1450,901,128,109,69,56,,,,2,5,12
LBR,SWZ,,,,,,,,,,,,,,,,,,,12,11,,,6,6,6,27,27,27,36,36,36,36,36,36,36
SDN,NGA,,,,,,,,,,,,,,,,,,,41,66,69,72,105,68,74,78,72,80,102,104,173,181,172,188,178
AFG,PNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
TUR,CYP,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,19,32,52,59,76,98,119
ARM,PER,,,,,,,,,,,,,,,,,,,,1,,,1,,1,1,1,1,1,1,1,1,1,1,1
IND,SVK,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,
PAN,ECU,,,,,,,,,,,,,,,,,,,28,8,,,4,4,4,4,1,,,,,,2,2,2
LKA,NGA,,,,,,,,,,,150,160,160,60,,,,,22,21,,,20,20,,,24,24,24,24,12,13,13,13,16
PER,SWE,,,,,,,,,,,,,,,,191,379,487,675,1077,1142,1207,1343,1523,1492,1396,1239,1132,951,564,500,454,307,133,128
NER,BFA,,,,,,,,,,,,,,,,,,,269,,,,1,1,1,1,,,,,,,,,
CHL,AUT,,,,,,,,,,,,,,,,,,,,,,,,15,11,11,6,4,2,2,2,2,,,
ARM,MEX,,,,,,,,,,,,,,,,,,,,1,,,1,2,3,3,3,,,,1,1,,,
NGA,MYS,,,,,,,,,,,,,,,,,,,2,1,,,,1,1,1,1,2,1,1,1,1,2,1,2
GMB,PRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1
EGY,SOM,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
ETH,DZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
LAO,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,403,421,315,246,151,173,171,173
TCD,EGY,,,,,,,,,,,,,,,,,,,1,,,5,5,,,,1,2,7,7,8,9,12,16,16
CHN,SGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,2,2
MNG,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,3,5,5
UZB,TUR,,,,,,,,,,,,,,,,,,,,,,,10,17,12,8,13,15,15,12,24,5,63,37,49
AFG,TCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,
ISR,NZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,4,4,4
HRV,DNK,,,,,,,,,,,,,,,,,,,7,7,7,7,13,19,119,122,92,102,95,85,16,13,13,13,7
COG,NZL,,,,,,,,,,,,,,,,,,,,,,,,1,,1,8,8,8,8,12,101,12,13,15
CZE,GBR,,,,,,,,,,,,,,102,96,73,41,24,14,,,,,,,20,25,85,115,120,120,120,120,120,120
TJK,DNK,,,,,,,,,,,,,,,,,,,,,,,6,6,7,7,6,6,6,6,6,6,1,1,0
KAZ,UKR,,,,,,,,,,,,,,,,,,,,,,,,19,11,16,17,17,17,3,3,8,5,5,7
POL,URY,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
HTI,CIV,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,
EST,AUS,,,,,,,,,,,,,,,,,,,,,,2,5,6,6,5,4,1,,,,,1,,0
VCT,CAN,,,,,,,,,,,,,,,,,,,,7,10,13,13,24,,48,67,81,105,181,279,386,644,748,847
ALB,POL,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
UGA,CRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2
SAU,CHE,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,0
JOR,PNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1
JOR,BEL,,,,,,,,,,,,,,,,,,,,,,,,18,6,16,6,6,5,10,12,4,5,6,13
ZMB,SWE,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,2,2,2,2,2,1,1
IND,NZL,,,,,,,,,,,,,,,,,,,,,,12,12,12,,6,3,6,7,8,10,8,11,12,12
TUR,NZL,,,,,,,,,,,,,,,,,,,,,,4,4,4,,4,9,15,23,26,27,26,15,18,18
LVA,SWE,,,,,,,,,,,,,,,,,,4,4,7,11,15,15,15,,15,18,14,18,15,7,7,7,14,14
MLI,ROU,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,
KGZ,LVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
TCD,LBY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,10,10,8,8,8,21
IRQ,MAR,,,,,,,,,,,,,,,,,,,,,,7,7,,,25,21,23,24,24,9,10,112,135,157
BEN,UKR,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,1,1,1,1,1,0
LKA,PNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
PAK,JPN,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,5,9,14,14,13,13,13,12,12
CIV,ZAF,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,5,5,6,7,7,7,7
COG,RWA,,,,,,,,,,,,,,,,,,,,,,,,,4,,3,,,,,,,,
SOM,ITA,,,,,,34,34,38,39,39,40,32,22,64,544,583,660,716,10718,10720,10360,10000,10720,680,389,160,115,74,94,598,814,948,1701,5251,7747
DZA,KAZ,,,,,,,,,,,,,,,,,,,,,,,,,3,8,1,,,,,,,,
ERI,DNK,,,,,,,,,,,,,,,,,,,,,,,,,25,31,24,28,39,54,56,55,15,18,21
MRT,CAN,,,,,,,,,,,,,,,,,,,,16,20,24,24,28,,15,15,20,30,69,129,229,231,254,268
SYR,BEL,,,,,,,,,,,,,,,,,,,,,,238,238,105,116,102,47,31,19,80,115,100,114,152,177
LBR,UGA,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,6,8,1,1,,3,3
RWA,CAF,,,,,,,,,,,,,,,,,,,19,245,215,185,1449,436,440,462,401,238,251,241,269,276,242,291,329
ETH,GTM,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,
SYR,EGY,,,,,,,,,,,,,,,,,,,3,5,,,2,,,,2,2,6,1,2,4,4,9,9
COL,ECU,,,,,,,50,,,,60,50,50,,,70,120,80,92,112,102,93,104,123,159,1374,1614,3122,6248,8270,9851,11526,264255,100637,115745
ERI,THA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,
AZE,GEO,,,,,,,,,,,,,,,,,,,,,,,136,14,13,13,13,13,11,11,7,4,3,3,3
BLR,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,17,30,46,82,95
LBR,CIV,,,,,,,,,,,,,,,,271831,229900,173719,250863,359351,343319,327288,207014,148910,135649,117749,122846,43000,74180,70402,39919,25615,24146,24256,24033
HRV,CAN,,,,,,,,,,,,,,,,,,,,625,984,1485,2441,3502,,4426,4150,3258,2000,835,349,160,93,85,86
MNE,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2
TTO,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,4
PNG,SLB,,,,,,,,,,,,,,,,,,,,,,2000,800,210,,,,,,,,,,,
SOM,GMB,,,,,,,,,,,,,,,,,,,4,,,15,20,20,20,,4,7,8,8,8,8,8,4,0
AGO,KEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
GHA,AUT,,,,,,,,,,,,,,,,,,,,,,,,39,39,38,34,26,26,29,20,19,18,23,31
LBR,MRT,,,,,,,,,,,,,,,,,,,,,,,,9,,20,22,34,99,136,156,163,175,185,184
GHA,PRT,,,,,,,,,,,,,,,,,,,,,,3,3,3,,2,1,,,,,,,1,1
BDI,IND,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
PHL,SWE,,,,,,,,,,,,,,,,6,10,12,12,12,12,12,12,12,,7,3,6,6,15,31,31,37,37,37
IDN,FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1
BDI,GRC,,,,,,,,,,,,,,,,,,,,,,,,,,,9,21,21,21,24,23,18,13,9
SOM,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,
THA,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,4,8,11
AFG,LBN,,,,,,,,,,,,100,,50,50,300,100,90,550,550,550,550,550,550,550,58,48,47,49,31,13,6,9,8,8
SRB,IND,,,,,,,,,,,,,,,,,,,4,4,4,5,2,2,8,5,4,4,1,1,1,,,,
MKD,ESP,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,,,,,,,
MRT,ISL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
SLV,ARG,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,
SOM,UGA,,,,,,,,,,,,,,,,,200,2030,2300,2300,1473,646,1602,1753,1271,1236,819,879,892,1089,1811,3752,4573,6085,8172
CHN,IND,,,,,,,,,,,,,,,,,,80000,108001,108001,103000,98000,98000,98000,98001,92343,92344,92346,92349,94349,77200,77200,77200,100003,100003
KHM,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,252,248,185,181,83,113,130,156
GIN,DZA,,,,,,,,,,,,,,,,,,,,,,,,,,35,9,,,,,,,,
IRN,TJK,,,,,,,,,,,,,,,,,,,,,,1,3,5,5,5,5,5,1,14,9,8,4,5,0
SAU,THA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
AFG,MDA,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,5,5,5,8,12,12,10,9
URY,BEL,,,,,,,,,,,,,,,,,,,,,,,,,13,,,5,5,5,4,4,4,2,2
CZE,VEN,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
MAR,BEL,,,,,,,,,,,,,,,,,,,,,,,,21,20,21,15,10,8,8,7,8,9,9,14
TGO,SEN,,,,,,,,,,,,,,,,,,,2,,,19,3,,,,,,,,1,1,1,1,1
SDN,JOR,,,,,,,,,,,,,,,,,,,,6,11,16,12,12,29,18,6,3,38,4,3,10,23,44,191
NAM,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,,,
DOM,CRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6
AGO,ARG,,,,,,,,,,,,,,,,,,,2,17,,,,6,9,11,11,11,13,13,13,15,15,15,14
SRB,LIE,,,,,,,,,,,,,,,,,,,,,,,,,,,7,21,36,36,37,252,256,62,62
COD,ISL,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1
HND,FRA,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,59,59,,0
SVK,ISL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4
MEX,USA,,,,,,,,,,,,,,,,,,,,9,106,203,272,347,449,470,477,488,439,425,502,962,1083,1227,1384
ETH,SVN,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
IRQ,SRB,,,,,,,,,,,,,,,,,,,7,7,7,7,10,6,16,12,4,20,17,21,18,62,86,60,44
ZAF,BEL,,,,,,,,,,,,,,,,,,,,,,,,2,8,1,3,2,2,2,2,2,2,2,2
SOM,DZA,,,,,,,,,,,,,,,,,,,,,,,,,,14,8,4,4,4,4,4,4,4,5
ETH,CUB,,,,,,,,,,,,,,,,,,,,2,3,4,5,4,6,29,39,38,36,14,11,31,8,6,1
COD,CRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3
COD,CAN,,,,,,,,,,,,,,,,,,,,1560,1564,1777,1892,2306,,3142,4033,4387,4706,5069,5124,5212,5997,5687,5284
SLV,ECU,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,5,5,5
KEN,ESP,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,,,
AGO,NZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,2,2,2,2
TUR,IRQ,,,,,,,,,,,,,,,,,,,1380,12200,13593,14986,10858,11301,11193,12640,13136,13724,13135,13353,13332,16832,15553,15716,10125
TUN,ARE,,,,,,,,,,,,,,,,,,,,,,,,5,90,,,,,,,,,1,1
SVK,NLD,,,,,,,,,,,,,,,,,,,,6,17,29,38,38,,52,52,60,65,59,57,39,30,30,21
HTI,NLD,,,,,,,,,,,,,,,,,,2,2,2,3,4,4,4,,4,4,3,3,3,2,2,2,2,2
SLV,CAN,,,,,,,,,,,,,,,,,,,,11082,7333,3584,1720,800,,621,636,514,442,468,399,459,758,849,889
AFG,ESP,,,,,,,,,,,,,,,,,21,20,74,70,72,75,80,87,93,125,145,145,94,88,87,74,69,69,70
CIV,MEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,6,6,6,6
MDG,SVK,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,
GIN,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,814,891,723,260,317,404,572
BIH,DEU,,,,,,,,,,,,,,,,,,,,350000,340000,330000,245000,100000,50000,,24000,40531,38688,30083,9223,28098,26261,24697,24947
TCD,ZAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
CMR,GBR,,,,,,,,,,,,,,,,,,,,,,,5,25,,25,25,175,241,511,656,731,829,829,871
SYR,CAN,,,,,,,,,,,,,,,,,,,,415,377,340,324,333,,390,427,432,424,459,397,415,624,603,577
RUS,ESP,,,,,,,,,,,,,,,,,,,12,15,22,30,32,58,110,214,296,338,400,443,483,492,508,507,464
SOM,CZE,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,7,1,1,1,1,8,18,19,27
SOM,LUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
GRD,USA,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,1,1,1,1,2,5,8
IDN,SWE,,,,,,,,,,,,,,,,38,25,10,10,7,,,4,4,,4,4,6,6,10,11,11,5,5,6
HRV,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3
BOL,AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,6,6,6,6,6,6
GUY,GBR,,,,,,,,,,,,,,2,2,2,1,1,1,,,,,,,,,,1,4,4,5,5,5,5
AUT,AUT,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,1,1,,
COG,BOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
COG,GIN,,,,,,,,,,,,,,,,,,,,,,,,1,1,6,7,1,1,2,1,11,12,12,12
LAO,KAZ,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,
NIC,BLZ,,,,,,,,,,,,,,,50,,,,309,310,309,304,303,134,125,105,100,95,70,68,64,44,26,13,5
MAR,BWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,
SRB,PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,,
CUB,AUS,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,6,7,7,8,8,5,5,6
CHN,ROU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,3,4
GMB,ISL,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,,
GNQ,NGA,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,12,12,4,4,4,4,4
ETH,JOR,,,,80,120,60,80,100,100,250,250,,,,130,130,80,,,,,,,1,2,2,,,3,3,,,,,
BIH,GHA,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
SWE,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
MLI,SWE,,,,,,,,,,,,,,,,1,4,4,4,7,7,8,8,8,,7,4,4,4,1,2,2,2,2,5
ZMB,NAM,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
BIH,ZAF,,,,,,,,,,,,,,,,,,,,,,,,,,16,24,24,27,27,27,27,27,27,27
CIV,CHE,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,6,31,51,77,85,104,114
MMR,SWE,,,,,,,,,,,,,,,,,5,9,25,39,40,41,41,42,,43,38,35,31,156,569,867,39,40,46
NPL,MDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
LAO,CAN,,,,,,,,,,,,,,,,,,,,1620,855,91,34,33,,7,2,1,,3,4,4,4,5,5
GEO,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,31,35,37,38,41,43
LBR,EGY,,,,,,,,,,,,,,,,,,,,21,39,58,56,55,55,42,43,49,25,18,15,7,8,6,6
UKR,SWE,,,,,,,,,,,,,,,,,,14,43,109,133,157,165,179,,203,236,229,218,179,172,165,172,162,163
IRN,AZE,,,,,,,,,,,,,,,,,,,,,,3,16,9,11,25,11,23,38,47,55,71,90,97,113
CHN,PRT,,,,,,,,,,,,,,,,,,,,,,2,2,2,,2,1,1,,,,,,,
CAF,TUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
HTI,BHS,,,,,,,,,,,,,,,,,,374,59,,,,,,,,,,,,,,,,
SYR,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,1,1,1,,0
COG,BEL,,,,,,,,,,,,,,,,,,,,,,,,21,367,48,66,54,44,44,38,55,41,36,34
BDI,CIV,,,,,,,,,,,,,,,,,,,8,13,26,40,23,77,87,97,99,97,101,95,84,92,38,36,33
